DATAFLOW,LAST UPDATE,freq,waste,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU28,2007,59.2,s
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU28,2008,60.5,s
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU28,2009,62.4,s
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU28,2010,63.5,s
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU28,2011,63.8,s
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU28,2012,64.7,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU28,2013,65.3,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU28,2014,65.5,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU28,2015,65.8,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU28,2016,67.2,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU28,2017,67,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU28,2018,65.9,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FI,1997,41.7,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FI,1998,44.6,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FI,1999,49.5,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FI,2000,49.8,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FI,2001,47.2,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FI,2002,49.2,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FI,2003,40.8,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FI,2004,39.9,
